Student First Name,Student Last Name,Student ID,Student DOB,Gender,Race/Ethnicity,IDEA Indicator,Limited English Proficiency Status,Section 504 Status,Economic Disadvantage Status,English Language Proficiency Level,Language Code,Migrant Status,First Entry Date Into US School,LEP Entry Date,LEP Exit Date,Primary Disability Type,Enrolled Grade,Enrolled School,Enrolled School ID,Enrolled District,Enrolled District ID,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
Robert,Aadasian,99000001,05/17/2004,M,Hispanic,,Y,N,Y,,SPA,Y,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2565,25,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2501,17,1,Below Standard,Below Standard,Below Standard
Ruben,Aadasian,99000002,12/23/2010,M,Hispanic,,Y,N,,,SPA,N,8/23/11,8/23/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2405,25,1,Below Standard,Below Standard,Near Standard,Near Standard,1,2421,19,1,Below Standard,Below Standard,Below Standard
Tonya,Acres,99000004,10/13/2006,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2475,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2485,17,3,Near Standard,Above Standard,Above Standard
Jonathan,Aguilar,99000003,07/16/2005,M,White,Y,,N,,,ENG,N,,,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2272,35,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2374,22,2,Near Standard,Near Standard,Below Standard
Stephanie,Aguilar,99000005,07/08/2008,M,Hispanic,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2434,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2405,20,2,Below Standard,Near Standard,Below Standard
Valeria,Aguinaga,99000006,04/24/2004,M,Hispanic,,,N,Y,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2496,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2477,17,3,Above Standard,Near Standard,Near Standard
Abel,Alavez,99000007,04/19/2006,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2523,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2488,17,2,Below Standard,Near Standard,Near Standard
David,Albarran,99000009,11/10/2010,M,Asian (non-Filipino),,,N,,,VIE,N,8/3/11,8/3/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2641,29,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2659,23,1,Below Standard,Below Standard,Below Standard
Derek,Albright,99000010,11/19/2005,M,Hispanic,Y,Y,N,,,SPA,N,8/29/10,8/29/10,,SLI,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2329,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2416,19,3,Near Standard,Near Standard,Near Standard
Jerod,Albright,99000011,09/28/2009,M,White,,,N,,,ENG,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2316,30,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2433,19,1,Below Standard,Near Standard,Below Standard
